date,datetime,gas_gen_mwh,gas_gen_percentage
2022-12-01,2022-12-01T00:00:00.000+01:00,203913.776,0.26832043666152183
2022-12-02,2022-12-02T00:00:00.000+01:00,303774.421,0.38155456666125626
2022-12-03,2022-12-03T00:00:00.000+01:00,264419.576,0.35995248973452776
2022-12-04,2022-12-04T00:00:00.000+01:00,227130.085,0.3365641015179432
2022-12-05,2022-12-05T00:00:00.000+01:00,248700.62,0.3306514135958837
2022-12-06,2022-12-06T00:00:00.000+01:00,342056.602,0.46485752168400585
2022-12-07,2022-12-07T00:00:00.000+01:00,357781.385,0.47698165921298047
2022-12-08,2022-12-08T00:00:00.000+01:00,168746.184,0.24614629137043093
2022-12-09,2022-12-09T00:00:00.000+01:00,209698.06,0.2856386008062703
2022-12-10,2022-12-10T00:00:00.000+01:00,139133.076,0.18883045729040607
2022-12-11,2022-12-11T00:00:00.000+01:00,161792.777,0.24897210057048838
2022-12-12,2022-12-12T00:00:00.000+01:00,77152.806,0.09923853931837327
2022-12-13,2022-12-13T00:00:00.000+01:00,94386.803,0.12534911988032796
2022-12-14,2022-12-14T00:00:00.000+01:00,90277.605,0.1226962955510665
2022-12-15,2022-12-15T00:00:00.000+01:00,162078.921,0.21183707584636507
2022-12-16,2022-12-16T00:00:00.000+01:00,151741.724,0.2083693637458701
2022-12-17,2022-12-17T00:00:00.000+01:00,170683.614,0.25493270676299234
2022-12-18,2022-12-18T00:00:00.000+01:00,67123.572,0.10401496755236547
2022-12-19,2022-12-19T00:00:00.000+01:00,70671.958,0.09649475612909565
2022-12-20,2022-12-20T00:00:00.000+01:00,73167.816,0.09766762457123178
2022-12-21,2022-12-21T00:00:00.000+01:00,65577.372,0.08379677353290173
2022-12-22,2022-12-22T00:00:00.000+01:00,60898.86,0.0790276881387535
2022-12-23,2022-12-23T00:00:00.000+01:00,62483.705,0.08805033604613653
2022-12-24,2022-12-24T00:00:00.000+01:00,72359.098,0.12047220926386162
2022-12-25,2022-12-25T00:00:00.000+01:00,69537.651,0.12182518711296364
2022-12-26,2022-12-26T00:00:00.000+01:00,112007.85,0.19792924117695845
2022-12-27,2022-12-27T00:00:00.000+01:00,100592.108,0.16241532984649662
2022-12-28,2022-12-28T00:00:00.000+01:00,68629.065,0.1053827663010915
2022-12-29,2022-12-29T00:00:00.000+01:00,62301.196,0.09555815552256311
2022-12-30,2022-12-30T00:00:00.000+01:00,48001.924,0.06930542812069526
2022-12-31,2022-12-31T00:00:00.000+01:00,61768.065,0.1094837372898728
2023-01-01,2023-01-01T00:00:00.000+01:00,65377.808,0.11928592373250398
2023-01-02,2023-01-02T00:00:00.000+01:00,146788.872,0.2249736001130091
2023-01-03,2023-01-03T00:00:00.000+01:00,152379.45,0.2183163443500798
2023-01-04,2023-01-04T00:00:00.000+01:00,120461.966,0.18399677859677355
2023-01-05,2023-01-05T00:00:00.000+01:00,150802.315,0.22789192869941044
2023-01-06,2023-01-06T00:00:00.000+01:00,93312.458,0.15015347433886306
2023-01-07,2023-01-07T00:00:00.000+01:00,65633.512,0.09603512355733915
2023-01-08,2023-01-08T00:00:00.000+01:00,59181.356,0.08264276479668076
2023-01-09,2023-01-09T00:00:00.000+01:00,81198.673,0.10573038314544835
2023-01-10,2023-01-10T00:00:00.000+01:00,87337.941,0.11431641515040093
2023-01-11,2023-01-11T00:00:00.000+01:00,94012.128,0.1260601108960061
